GHG Intensity (kg CO2e/sq ft)_sqrt,GHG Intensity (kg CO2e/sq ft),Reporting Status,Reporting Status_Submitted Data,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft),Chicago Energy Rating
2.0248456,4.1,Submitted Data,True,9.027735,4.4127984,4.388257,8.916277,79.5,4.0
2.4454038,5.98,Not Submitted,False,10.639549,4.7379513,4.719213,10.53945,111.08,0.0
2.607681,6.8,Submitted Data,True,11.734565,4.9323134,4.8759604,11.406138,130.1,2.5
2.48998,6.2,Submitted Data,True,11.086027,4.8194747,4.7791233,10.862781,118.0,3.0
3.0,9.0,Submitted Data,True,13.038404,5.1416636,5.1149955,12.86468,165.5,1.0
5.75326,33.1,Submitted Data,True,24.807257,6.4238963,6.4142785,24.688053,609.5,1.0
2.32379,5.4,Submitted Data,True,10.20784,4.6558633,4.6366687,10.109402,102.2,3.0
2.634388,6.94,Not Submitted,False,11.681609,4.923333,4.8824987,11.443775,130.96,0.0
2.792848,7.8,Submitted Data,True,12.284136,5.0232224,4.9863424,12.058192,145.4,2.0
1.7029387,2.9,Submitted Data,True,7.641989,4.0842943,4.037774,7.4632435,55.7,4.0
3.591657,12.9,Submitted Data,True,15.636496,5.503297,5.4901767,15.533834,241.3,1.0
2.280351,5.2,Submitted Data,True,10.290772,4.6718936,4.607168,9.95992,99.2,4.0
2.588436,6.7,Submitted Data,True,11.193748,4.8386602,4.794136,10.945318,119.8,3.5
3.2,10.24,Not Submitted,False,13.854241,5.262379,5.2331386,13.652106,186.38,0.0
2.280351,5.2,Submitted Data,True,10.227414,4.6596584,4.611152,9.9799795,99.6,4.0
2.8635643,8.2,Submitted Data,True,12.316655,5.0284753,4.9938283,12.103719,146.5,4.0
2.5690465,6.6,Submitted Data,True,11.335784,4.863681,4.842611,11.21606,125.8,1.5
5.2249403,27.3,Submitted Data,True,22.611944,6.23891,6.223171,22.43435,503.3,4.0
4.690416,22.0,Submitted Data,True,20.231165,6.0168886,6.014937,20.211384,408.5,2.0
3.7013512,13.7,Submitted Data,True,15.946787,5.5424395,5.519058,15.760711,248.4,1.0
2.6645825,7.1,Submitted Data,True,11.738825,4.933034,4.9008203,11.549891,133.4,2.0
2.2135944,4.9,Submitted Data,True,10.18332,4.651099,4.5829244,9.838699,96.8,3.0
2.144761,4.6,Submitted Data,True,9.186947,4.447346,4.4367514,9.137834,83.5,4.0
2.6645825,7.1,Submitted Data,True,12.103719,4.9938283,4.9308705,11.726039,137.5,2.5
2.9154758,8.5,Submitted Data,True,12.778889,5.101694,5.072044,12.589679,158.5,2.0
2.302173,5.3,Submitted Data,True,10.251829,4.664382,4.631812,10.084641,101.7,4.0
2.144761,4.6,Submitted Data,True,9.654015,4.54542,4.4931207,9.402127,88.4,4.0
2.6457512,7.0,Submitted Data,True,11.827933,4.9480505,4.898586,11.536898,133.1,2.0
2.408319,5.8,Submitted Data,True,10.425929,4.697749,4.6821313,10.34408,107.0,3.5
1.9493588,3.8,Submitted Data,True,8.70632,4.3412046,4.302713,8.53815,72.9,4.0
2.75318,7.58,Not Submitted,False,11.965785,4.9710627,4.9484763,11.830469,139.96,0.0
2.408319,5.8,Submitted Data,True,10.56409,4.7238417,4.7095304,10.488089,110.0,4.0
2.9325757,8.6,Submitted Data,True,12.637246,5.0795393,5.049856,12.4499,155.0,3.5
2.4859605,6.18,Not Submitted,False,11.051697,4.813322,4.755485,10.734058,115.22,0.0
3.193744,10.2,Submitted Data,True,14.071247,5.293305,5.2647605,13.870832,192.4,1.0
3.1622777,10.0,Submitted Data,True,13.553597,5.218733,5.2067504,13.472194,181.5,2.5
2.9664793,8.8,Submitted Data,True,12.891858,5.1191907,5.0912933,12.712199,161.6,2.0
2.7018511,7.3,Submitted Data,True,11.85327,4.9522996,4.900076,11.545562,133.3,2.0
