Date,Open,Date_year,Date_month,Date_day,Date_dayofweek,Date_quarter
Unknown,46.84,0.0,0.0,0.0,0.0,0.0
Unknown,46.78,0.0,0.0,0.0,0.0,0.0
Unknown,46.07,0.0,0.0,0.0,0.0,0.0
Unknown,45.3,0.0,0.0,0.0,0.0,0.0
Unknown,40.45,0.0,0.0,0.0,0.0,0.0
Unknown,42.57,0.0,0.0,0.0,0.0,0.0
Unknown,42.01,0.0,0.0,0.0,0.0,0.0
Unknown,43.23,0.0,0.0,0.0,0.0,0.0
Unknown,43.4,0.0,0.0,0.0,0.0,0.0
Unknown,43.56,0.0,0.0,0.0,0.0,0.0
2015-09-01 16:00:00,42.17,2015.0,9.0,1.0,1.0,3.0
2015-09-02 16:00:00,42.36,2015.0,9.0,2.0,2.0,3.0
2015-09-03 16:00:00,43.41,2015.0,9.0,3.0,3.0,3.0
2015-09-04 16:00:00,42.81,2015.0,9.0,4.0,4.0,3.0
2015-09-08 16:00:00,43.3,2015.0,9.0,8.0,1.0,3.0
2015-09-09 16:00:00,44.21,2015.0,9.0,9.0,2.0,3.0
2015-09-10 16:00:00,43.12,2015.0,9.0,10.0,3.0,3.0
2015-09-11 16:00:00,43.14,2015.0,9.0,11.0,4.0,3.0
Unknown,43.43,0.0,0.0,0.0,0.0,0.0
Unknown,43.19,0.0,0.0,0.0,0.0,0.0
Unknown,43.97,0.0,0.0,0.0,0.0,0.0
Unknown,44.29,0.0,0.0,0.0,0.0,0.0
Unknown,43.5,0.0,0.0,0.0,0.0,0.0
Unknown,43.62,0.0,0.0,0.0,0.0,0.0
Unknown,43.38,0.0,0.0,0.0,0.0,0.0
Unknown,43.93,0.0,0.0,0.0,0.0,0.0
Unknown,43.45,0.0,0.0,0.0,0.0,0.0
Unknown,44.48,0.0,0.0,0.0,0.0,0.0
Unknown,43.83,0.0,0.0,0.0,0.0,0.0
Unknown,43.37,0.0,0.0,0.0,0.0,0.0
Unknown,43.88,0.0,0.0,0.0,0.0,0.0
2015-10-01 16:00:00,44.75,2015.0,10.0,1.0,3.0,4.0
2015-10-02 16:00:00,44.27,2015.0,10.0,2.0,4.0,4.0
2015-10-05 16:00:00,45.75,2015.0,10.0,5.0,0.0,4.0
2015-10-06 16:00:00,46.33,2015.0,10.0,6.0,1.0,4.0
2015-10-07 16:00:00,47.1,2015.0,10.0,7.0,2.0,4.0
2015-10-08 16:00:00,46.56,2015.0,10.0,8.0,3.0,4.0
2015-10-09 16:00:00,47.45,2015.0,10.0,9.0,4.0,4.0
2015-10-12 16:00:00,46.98,2015.0,10.0,12.0,0.0,4.0
Unknown,46.56,0.0,0.0,0.0,0.0,0.0
Unknown,46.65,0.0,0.0,0.0,0.0,0.0
Unknown,47.01,0.0,0.0,0.0,0.0,0.0
Unknown,47.02,0.0,0.0,0.0,0.0,0.0
Unknown,47.42,0.0,0.0,0.0,0.0,0.0
Unknown,47.44,0.0,0.0,0.0,0.0,0.0
Unknown,47.92,0.0,0.0,0.0,0.0,0.0
Unknown,47.53,0.0,0.0,0.0,0.0,0.0
Unknown,52.3,0.0,0.0,0.0,0.0,0.0
Unknown,52.53,0.0,0.0,0.0,0.0,0.0
Unknown,53.99,0.0,0.0,0.0,0.0,0.0
Unknown,53.54,0.0,0.0,0.0,0.0,0.0
Unknown,53.54,0.0,0.0,0.0,0.0,0.0
Unknown,53.32,0.0,0.0,0.0,0.0,0.0
2015-11-02 16:00:00,52.85,2015.0,11.0,2.0,0.0,4.0
2015-11-03 16:00:00,52.93,2015.0,11.0,3.0,1.0,4.0
2015-11-04 16:00:00,54.18,2015.0,11.0,4.0,2.0,4.0
2015-11-05 16:00:00,54.49,2015.0,11.0,5.0,3.0,4.0
2015-11-06 16:00:00,54.09,2015.0,11.0,6.0,4.0,4.0
2015-11-09 16:00:00,54.55,2015.0,11.0,9.0,0.0,4.0
2015-11-10 16:00:00,54.01,2015.0,11.0,10.0,1.0,4.0
2015-11-11 16:00:00,53.7,2015.0,11.0,11.0,2.0,4.0
2015-11-12 16:00:00,53.48,2015.0,11.0,12.0,3.0,4.0
Unknown,53.07,0.0,0.0,0.0,0.0,0.0
Unknown,53.08,0.0,0.0,0.0,0.0,0.0
Unknown,53.17,0.0,0.0,0.0,0.0,0.0
Unknown,53.0,0.0,0.0,0.0,0.0,0.0
Unknown,53.99,0.0,0.0,0.0,0.0,0.0
Unknown,54.25,0.0,0.0,0.0,0.0,0.0
Unknown,54.25,0.0,0.0,0.0,0.0,0.0
Unknown,53.92,0.0,0.0,0.0,0.0,0.0
Unknown,54.09,0.0,0.0,0.0,0.0,0.0
Unknown,53.8,0.0,0.0,0.0,0.0,0.0
Unknown,54.54,0.0,0.0,0.0,0.0,0.0
2015-12-01 16:00:00,54.41,2015.0,12.0,1.0,1.0,4.0
2015-12-02 16:00:00,55.32,2015.0,12.0,2.0,2.0,4.0
2015-12-03 16:00:00,55.49,2015.0,12.0,3.0,3.0,4.0
2015-12-04 16:00:00,54.12,2015.0,12.0,4.0,4.0,4.0
2015-12-07 16:00:00,55.79,2015.0,12.0,7.0,0.0,4.0
2015-12-08 16:00:00,55.47,2015.0,12.0,8.0,1.0,4.0
2015-12-09 16:00:00,55.37,2015.0,12.0,9.0,2.0,4.0
2015-12-10 16:00:00,55.39,2015.0,12.0,10.0,3.0,4.0
2015-12-11 16:00:00,54.71,2015.0,12.0,11.0,4.0,4.0
Unknown,54.33,0.0,0.0,0.0,0.0,0.0
Unknown,55.66,0.0,0.0,0.0,0.0,0.0
Unknown,55.54,0.0,0.0,0.0,0.0,0.0
Unknown,56.36,0.0,0.0,0.0,0.0,0.0
Unknown,55.77,0.0,0.0,0.0,0.0,0.0
Unknown,54.88,0.0,0.0,0.0,0.0,0.0
Unknown,54.99,0.0,0.0,0.0,0.0,0.0
Unknown,55.7,0.0,0.0,0.0,0.0,0.0
Unknown,55.86,0.0,0.0,0.0,0.0,0.0
Unknown,55.35,0.0,0.0,0.0,0.0,0.0
Unknown,56.29,0.0,0.0,0.0,0.0,0.0
Unknown,56.47,0.0,0.0,0.0,0.0,0.0
Unknown,56.04,0.0,0.0,0.0,0.0,0.0
2016-01-04 16:00:00,54.32,2016.0,1.0,4.0,0.0,1.0
